llm,package,run,run_number,total_surviving,predicted_equivalent,predicted_behavioral,equiv_rate_pct,ci_low_pct,ci_high_pct,confidence_interval
google_gemini-2.5-flash,countries-and-timezones,run2,2,25,10,15,40.0,20.0,60.0,"(20.0%, 60.0%)"
google_gemini-2.5-flash,node-jsonfile,run2,2,34,4,30,11.7647,2.9412,23.5294,"(2.9%, 23.5%)"
google_gemini-2.5-flash,pull-stream,run2,2,268,3,265,1.1194,0.0,2.6119,"(0.0%, 2.6%)"
google_gemini-2.5-flash,spacl-core,run2,2,20,10,10,50.0,30.0,70.0,"(30.0%, 70.0%)"
google_gemini-2.5-flash,zip-a-folder,run2,2,2,0,2,0.0,0.0,0.0,"(0.0%, 0.0%)"
google_gemini-2.5-flash,Complex.js,run3,3,448,58,390,12.9464,9.8214,16.2946,"(9.8%, 16.3%)"
google_gemini-2.5-flash,countries-and-timezones,run3,3,25,10,15,40.0,20.0,60.0,"(20.0%, 60.0%)"
google_gemini-2.5-flash,node-jsonfile,run3,3,34,4,30,11.7647,2.9412,23.5294,"(2.9%, 23.5%)"
google_gemini-2.5-flash,pull-stream,run3,3,268,3,265,1.1194,0.0,2.6119,"(0.0%, 2.6%)"
google_gemini-2.5-flash,spacl-core,run3,3,20,10,10,50.0,30.0,70.0,"(30.0%, 70.0%)"
google_gemini-2.5-flash,zip-a-folder,run3,3,2,0,2,0.0,0.0,0.0,"(0.0%, 0.0%)"
google_gemini-2.5-flash,Complex.js,run4,4,448,58,390,12.9464,9.8214,16.2946,"(9.8%, 16.3%)"
google_gemini-2.5-flash,countries-and-timezones,run4,4,25,10,15,40.0,20.0,60.0,"(20.0%, 60.0%)"
google_gemini-2.5-flash,node-jsonfile,run4,4,34,4,30,11.7647,2.9412,23.5294,"(2.9%, 23.5%)"
google_gemini-2.5-flash,pull-stream,run4,4,268,3,265,1.1194,0.0,2.6119,"(0.0%, 2.6%)"
google_gemini-2.5-flash,spacl-core,run4,4,20,10,10,50.0,30.0,70.0,"(30.0%, 70.0%)"
google_gemini-2.5-flash,zip-a-folder,run4,4,2,0,2,0.0,0.0,0.0,"(0.0%, 0.0%)"
google_gemini-2.5-flash,Complex.js,run5,5,448,58,390,12.9464,9.8214,16.2946,"(9.8%, 16.3%)"
google_gemini-2.5-flash,countries-and-timezones,run5,5,25,10,15,40.0,20.0,60.0,"(20.0%, 60.0%)"
google_gemini-2.5-flash,node-jsonfile,run5,5,34,4,30,11.7647,2.9412,23.5294,"(2.9%, 23.5%)"
google_gemini-2.5-flash,pull-stream,run5,5,268,3,265,1.1194,0.0,2.6119,"(0.0%, 2.6%)"
google_gemini-2.5-flash,spacl-core,run5,5,20,10,10,50.0,30.0,70.0,"(30.0%, 70.0%)"
google_gemini-2.5-flash,zip-a-folder,run5,5,2,0,2,0.0,0.0,0.0,"(0.0%, 0.0%)"
google_gemini-2.5-flash-thinking,Complex.js,run1,1,167,25,142,14.9701,9.5808,20.3593,"(9.6%, 20.4%)"
google_gemini-2.5-flash-thinking,countries-and-timezones,run1,1,8,3,5,37.5,12.5,75.0,"(12.5%, 75.0%)"
google_gemini-2.5-flash-thinking,node-jsonfile,run1,1,12,4,8,33.3333,8.3333,58.3333,"(8.3%, 58.3%)"
google_gemini-2.5-flash-thinking,pull-stream,run1,1,89,0,89,0.0,0.0,0.0,"(0.0%, 0.0%)"
