model,package,run,runLabel,simulated,nrPrompts,nrCandidates,nrValid,nrInvalid,nrIdentical,nrDuplicate,validityRate,duplicateRate,invalidRate,mutationScore,nrKilled,nrSurvived,nrTimedOut,strykerTimeSec,totalPromptTokens,totalCompletionTokens,inputCostUsd,outputCostUsd,totalCostUsd,nMutants,medianAbsLevenshtein,q1AbsLevenshtein,q3AbsLevenshtein,medianNormLevenshtein,q1NormLevenshtein,q3NormLevenshtein
google_gemini-3.1-flash-lite,zip-a-folder,1,run1,,49,143,117,21,5,5,81.81818181818183,3.4965034965034967,14.685314685314685,94.02,19,7,91,1157.738,,,,,,117,7,4,14,0.4666666666666667,0.2,0.8235294117647058
google_gemini-3.5-flash,Complex.js,1,run1,,490,1369,1172,170,27,92,85.60993425858291,6.7202337472607745,12.41782322863404,55.03,645,527,0,341.707,894841,107843,1.3422615,0.970587,2.3128485,1172,2,1,5,0.375,0.14285714285714285,0.75
google_gemini-3.5-flash,countries-and-timezones,1,run1,,106,302,263,36,3,14,87.08609271523179,4.635761589403973,11.920529801324504,80.99,213,50,0,275.239,93198,24543,0.139797,0.220887,0.360684,263,8,5,14,0.6153846153846154,0.35357142857142854,0.875
google_gemini-3.5-flash,node-jsonfile,1,run1,,68,200,161,38,1,2,80.5,1,19,72.05,62,45,54,428.282,50578,15171,0.07586699999999999,0.136539,0.21240599999999998,161,7,4,9,0.53125,0.25,0.8571428571428571
google_gemini-3.5-flash,pull-stream,1,run1,,351,1020,858,161,1,29,84.11764705882354,2.843137254901961,15.784313725490195,64.8,489,302,67,1346.122,185351,76218,0.27802649999999995,0.685962,0.9639884999999999,858,5,4,8,0.8,0.2857142857142857,1
google_gemini-3.5-flash,spacl-core,1,run1,,134,375,257,116,2,22,68.53333333333333,5.866666666666666,30.933333333333334,83.95,204,39,0,941.436,150586,30682,0.225879,0.276138,0.5020169999999999,257,5,3,10,0.4,0.17391304347826086,0.7297297297297297
google_gemini-3.5-flash,zip-a-folder,1,run1,,49,146,118,24,4,1,80.82191780821918,0.684931506849315,16.43835616438356,97.46,19,3,96,1273.952,73738,11053,0.110607,0.09947700000000001,0.210084,118,7,4,13,0.5086206896551724,0.19780219780219782,0.862012987012987
meta-llama_llama-3.1-8b-instruct,Complex.js,1,run1,,490,1424,1127,279,18,42,79.14325842696628,2.9494382022471908,19.59269662921348,63.8,718,408,1,334.827,787157,76227,0.01574314,0.0038113500000000002,0.01955449,1127,7,3,11,0.6190476190476191,0.375,0.9090909090909091
meta-llama_llama-3.1-8b-instruct,countries-and-timezones,1,run1,,106,313,235,73,5,5,75.07987220447284,1.5974440894568689,23.322683706070286,80,188,47,0,245.88400000000001,82469,17222,0.00164938,0.0008611000000000001,0.00251048,235,10,6,15.5,0.5882352941176471,0.38461538461538464,0.8
meta-llama_llama-3.1-8b-instruct,node-jsonfile,1,run1,,68,197,159,37,1,5,80.71065989847716,2.5380710659898478,18.781725888324875,73.58,58,42,59,430.567,46251,10779,0.00092502,0.0005389500000000001,0.0014639700000000002,159,8,6,14,0.72,0.35248447204968947,0.8888888888888888
meta-llama_llama-3.1-8b-instruct,pull-stream,1,run1,,351,1057,749,297,11,8,70.86092715231787,0.7568590350047304,28.098391674550616,69.69,463,227,59,1138.183,171744,53533,0.0034348800000000004,0.00267665,0.0061115300000000004,749,8,5,12,0.7692307692307693,0.5882352941176471,0.9
meta-llama_llama-3.1-8b-instruct,spacl-core,1,run1,,134,394,246,133,15,8,62.43654822335025,2.030456852791878,33.756345177664976,86.32,202,32,0,904.921,137051,22009,0.0027410200000000003,0.00110045,0.0038414700000000005,246,7,4,11,0.47213622291021673,0.3103448275862069,0.7591891891891892
meta-llama_llama-3.1-8b-instruct,zip-a-folder,1,run1,,49,143,100,41,2,4,69.93006993006993,2.797202797202797,28.671328671328673,95,24,5,71,954.77,64962,8075,0.0012992400000000001,0.00040375000000000003,0.0017029900000000001,100,11,4.75,16,0.46511627906976744,0.25,0.7728690228690229
meta-llama_llama-3.3-70b-instruct,Complex.js,1,run1,,490,1385,1153,232,0,87,83.24909747292418,6.28158844765343,16.750902527075812,62.01,715,438,0,332.943,789062,98471,0.07890620000000001,0.03151072,0.11041692,1153,4,2,10,0.59375,0.3076923076923077,0.9
meta-llama_llama-3.3-70b-instruct,countries-and-timezones,1,run1,,106,311,268,43,0,7,86.17363344051448,2.2508038585209005,13.826366559485532,83.21,223,45,0,274.685,82948,21391,0.0082948,0.0068451200000000005,0.015139920000000001,268,9.5,6,15.25,0.6120401337792643,0.38305613305613306,0.8461538461538461
meta-llama_llama-3.3-70b-instruct,node-jsonfile,1,run1,,68,199,171,28,0,5,85.92964824120602,2.512562814070352,14.07035175879397,75.44,59,42,70,502.876,46430,13587,0.004643,0.00434784,0.00899084,171,8,5,15,0.625,0.3333333333333333,0.8377192982456141
meta-llama_llama-3.3-70b-instruct,pull-stream,1,run1,,351,1040,800,223,17,15,76.92307692307693,1.4423076923076923,21.44230769230769,67.25,486,262,52,1162.05,173381,67874,0.017338100000000002,0.02171968,0.03905778,800,6,4,10,0.7333333333333333,0.3333333333333333,0.9090909090909091
meta-llama_llama-3.3-70b-instruct,spacl-core,1,run1,,134,387,264,120,3,14,68.21705426356588,3.6175710594315245,31.007751937984494,87.9,217,30,1,979.889,137742,26387,0.0137742,0.008443840000000001,0.02221804,264,6,4,13,0.4759725400457666,0.24677835051546393,0.7713675213675214
meta-llama_llama-3.3-70b-instruct,zip-a-folder,1,run1,,49,145,114,31,0,2,78.62068965517241,1.3793103448275863,21.379310344827587,94.74,82,6,26,398.701,65055,10112,0.006505500000000001,0.00323584,0.009741340000000001,114,10,4.25,14.75,0.5086206896551724,0.2464622641509434,0.8
openai_gpt-4o-mini,Complex.js,1,run1,,490,1395,1065,311,19,75,76.34408602150538,5.376344086021505,22.293906810035843,62.63,667,398,0,280,788189,96125,0.11822835,0.057675,0.17590334999999999,1065,4,2,8,0.5625,0.26666666666666666,0.875
openai_gpt-4o-mini,countries-and-timezones,1,run1,,106,308,224,81,3,10,72.72727272727273,3.2467532467532463,26.2987012987013,86.16,193,31,0,211.387,82293,21936,0.012343950000000001,0.0131616,0.025505550000000002,224,9,5,15,0.5741758241758241,0.38461538461538464,0.8888888888888888
openai_gpt-4o-mini,node-jsonfile,1,run1,,68,197,156,41,0,7,79.18781725888326,3.5532994923857872,20.812182741116754,80.77,61,30,65,470.422,46918,13586,0.0070377,0.0081516,0.0151893,156,9,4,15.25,0.7225274725274725,0.3333333333333333,0.8908045977011494
