model_a,model_b,metric,U,p_raw,delta,magnitude,p_holm
anthropic_claude-sonnet-4.5,qwen_qwen-2.5-coder-32b-instruct,nrSurvived,20.0,0.8091970817231279,0.1111111111111111,negligible,1.0
deepseek_deepseek-chat-v3.1,google_gemini-3.1-flash-lite,nrSurvived,21.0,0.6991341991341992,0.16666666666666666,small,1.0
deepseek_deepseek-chat-v3.1,google_gemini-3.5-flash,nrSurvived,15.5,0.748348568843747,-0.1388888888888889,negligible,1.0
deepseek_deepseek-chat-v3.1,meta-llama_llama-3.1-8b-instruct,nrSurvived,18.5,1.0,0.027777777777777776,negligible,1.0
deepseek_deepseek-chat-v3.1,meta-llama_llama-3.3-70b-instruct,nrSurvived,18.5,1.0,0.027777777777777776,negligible,1.0
deepseek_deepseek-chat-v3.1,openai_gpt-4o,nrSurvived,21.5,0.6303555263618644,0.19444444444444445,small,1.0
deepseek_deepseek-chat-v3.1,openai_gpt-4o-mini,nrSurvived,23.5,0.422527407168231,0.3055555555555556,small,1.0
deepseek_deepseek-chat-v3.1,qwen_qwen-2.5-coder-32b-instruct,nrSurvived,23.5,0.422527407168231,0.3055555555555556,small,1.0
google_gemini-3.1-flash-lite,google_gemini-3.5-flash,nrSurvived,13.0,0.48484848484848486,-0.2777777777777778,small,1.0
google_gemini-3.1-flash-lite,meta-llama_llama-3.1-8b-instruct,nrSurvived,17.0,0.9372294372294373,-0.05555555555555555,negligible,1.0
google_gemini-3.1-flash-lite,meta-llama_llama-3.3-70b-instruct,nrSurvived,16.5,0.8725590308923818,-0.08333333333333333,negligible,1.0
google_gemini-3.1-flash-lite,openai_gpt-4o,nrSurvived,19.0,0.9372294372294373,0.05555555555555555,negligible,1.0
google_gemini-3.1-flash-lite,openai_gpt-4o-mini,nrSurvived,22.5,0.5211099829589063,0.25,small,1.0
google_gemini-3.1-flash-lite,qwen_qwen-2.5-coder-32b-instruct,nrSurvived,24.0,0.3939393939393939,0.3333333333333333,medium,1.0
google_gemini-3.5-flash,meta-llama_llama-3.1-8b-instruct,nrSurvived,20.0,0.8181818181818182,0.1111111111111111,negligible,1.0
google_gemini-3.5-flash,meta-llama_llama-3.3-70b-instruct,nrSurvived,20.5,0.748348568843747,0.1388888888888889,negligible,1.0
google_gemini-3.5-flash,openai_gpt-4o,nrSurvived,22.0,0.5887445887445888,0.2222222222222222,small,1.0
google_gemini-3.5-flash,openai_gpt-4o-mini,nrSurvived,23.0,0.48484848484848486,0.2777777777777778,small,1.0
google_gemini-3.5-flash,qwen_qwen-2.5-coder-32b-instruct,nrSurvived,23.0,0.48484848484848486,0.2777777777777778,small,1.0
meta-llama_llama-3.1-8b-instruct,meta-llama_llama-3.3-70b-instruct,nrSurvived,17.5,1.0,-0.027777777777777776,negligible,1.0
meta-llama_llama-3.1-8b-instruct,openai_gpt-4o,nrSurvived,19.5,0.8725590308923818,0.08333333333333333,negligible,1.0
meta-llama_llama-3.1-8b-instruct,openai_gpt-4o-mini,nrSurvived,22.5,0.5211099829589063,0.25,small,1.0
meta-llama_llama-3.1-8b-instruct,qwen_qwen-2.5-coder-32b-instruct,nrSurvived,22.5,0.5211099829589063,0.25,small,1.0
meta-llama_llama-3.3-70b-instruct,openai_gpt-4o,nrSurvived,20.0,0.8181818181818182,0.1111111111111111,negligible,1.0
meta-llama_llama-3.3-70b-instruct,openai_gpt-4o-mini,nrSurvived,22.5,0.5211099829589063,0.25,small,1.0
meta-llama_llama-3.3-70b-instruct,qwen_qwen-2.5-coder-32b-instruct,nrSurvived,24.0,0.3939393939393939,0.3333333333333333,medium,1.0
openai_gpt-4o,openai_gpt-4o-mini,nrSurvived,21.5,0.6303555263618644,0.19444444444444445,small,1.0
openai_gpt-4o,qwen_qwen-2.5-coder-32b-instruct,nrSurvived,22.5,0.5211099829589063,0.25,small,1.0
openai_gpt-4o-mini,qwen_qwen-2.5-coder-32b-instruct,nrSurvived,20.5,0.748348568843747,0.1388888888888889,negligible,1.0
anthropic_claude-haiku-4.5,anthropic_claude-sonnet-4.5,medianAbsLevenshtein,23.5,0.4125114942650385,0.3055555555555556,small,1.0
anthropic_claude-haiku-4.5,deepseek_deepseek-chat-v3.1,medianAbsLevenshtein,18.0,1.0,0.0,negligible,1.0
anthropic_claude-haiku-4.5,google_gemini-3.1-flash-lite,medianAbsLevenshtein,19.5,0.8631963950027435,0.08333333333333333,negligible,1.0
anthropic_claude-haiku-4.5,google_gemini-3.5-flash,medianAbsLevenshtein,17.0,0.9325592051798114,-0.05555555555555555,negligible,1.0
anthropic_claude-haiku-4.5,meta-llama_llama-3.1-8b-instruct,medianAbsLevenshtein,3.0,0.015663353642897587,-0.8333333333333334,large,0.6891875602874938
anthropic_claude-haiku-4.5,meta-llama_llama-3.3-70b-instruct,medianAbsLevenshtein,11.0,0.29283365264601635,-0.3888888888888889,medium,1.0
anthropic_claude-haiku-4.5,openai_gpt-4o,medianAbsLevenshtein,12.0,0.3708416374383401,-0.3333333333333333,medium,1.0
anthropic_claude-haiku-4.5,openai_gpt-4o-mini,medianAbsLevenshtein,11.0,0.29197030023362924,-0.3888888888888889,medium,1.0
