model,package,run,runLabel,simulated,nrPrompts,nrCandidates,nrValid,nrInvalid,nrIdentical,nrDuplicate,validityRate,duplicateRate,invalidRate,mutationScore,nrKilled,nrSurvived,nrTimedOut,strykerTimeSec,totalPromptTokens,totalCompletionTokens,inputCostUsd,outputCostUsd,totalCostUsd,costPerCandidate,costPerValid,costPerUnique,costPerSurvivor,costPerNonEquivSurvivor,costPerMutationScorePoint,predictedEquivalent,nonEquivSurvivors
anthropic_claude-sonnet-4.5,spacl-core,1,run1,,134,347,240,104,3,20,69.164265129683,5.763688760806916,29.971181556195965,93.04,214,16,0,909.41,155672,32777,0.467016,0.491655,0.958671,0.0027627406340057638,0.0039944625000000004,0.004357595454545455,0.0599169375,0.106519,0.010303858555460017,7,9
anthropic_claude-sonnet-4.5,zip-a-folder,1,run1,,49,135,114,17,4,6,84.44444444444444,4.444444444444445,12.592592592592592,95.61,23,5,86,1125.797,81937,12072,0.245811,0.18108,0.426891,0.003162155555555556,0.003744657894736842,0.0039526944444444444,0.0853782,0.0853782,0.004464919987449012,0,5
deepseek_deepseek-chat-v3.1,Complex.js,1,run1,,490,1330,1106,209,15,109,83.15789473684211,8.195488721804512,15.714285714285714,54.79,606,500,0,345.111,790798,109244,0.16606758,0.08630275999999999,0.25237033999999997,0.00018975213533834584,0.0002281829475587703,0.00025312972918756265,0.0005047406799999999,0.0005801617011494252,0.004606138711443694,65,435
deepseek_deepseek-chat-v3.1,countries-and-timezones,1,run1,,106,298,261,33,4,15,87.58389261744966,5.033557046979865,11.073825503355705,82.76,216,45,0,269.919,85122,23905,0.01787562,0.01888495,0.03676057,0.00012335761744966441,0.0001408450957854406,0.00014943321138211383,0.0008169015555555555,0.001670935,0.0004441828177863702,23,22
deepseek_deepseek-chat-v3.1,node-jsonfile,1,run1,,68,197,176,21,0,5,89.34010152284264,2.5380710659898478,10.65989847715736,80.11,70,35,71,509.136,47357,14066,0.009944970000000001,0.011112140000000001,0.021057110000000004,0.00010688888324873099,0.00011964267045454548,0.0001231409941520468,0.0006016317142857144,0.0008098888461538464,0.00026285245287729377,9,26
deepseek_deepseek-chat-v3.1,pull-stream,1,run1,,351,1025,829,184,12,24,80.87804878048782,2.341463414634146,17.95121951219512,65.98,486,282,61,1245.935,171029,76260,0.03591609,0.0602454,0.09616148999999999,0.00009381608780487803,0.00011599697225572977,0.00011945526708074532,0.00034099819148936166,0.0003446648387096774,0.0014574339193695056,3,279
deepseek_deepseek-chat-v3.1,spacl-core,1,run1,,134,377,261,111,5,24,69.23076923076923,6.36604774535809,29.44297082228117,83.33,199,40,1,941.485,139593,28361,0.02931453,0.022405190000000002,0.05171972,0.00013718758620689654,0.000198159846743295,0.00021822666666666666,0.0012929929999999999,0.0024628438095238092,0.0006206614664586584,19,21
deepseek_deepseek-chat-v3.1,zip-a-folder,1,run1,,49,144,120,21,3,3,83.33333333333334,2.083333333333333,14.583333333333334,95.83,24,5,91,1232.632,66504,10744,0.013965839999999998,0.00848776,0.022453599999999997,0.00015592777777777777,0.0001871133333333333,0.00019191111111111107,0.004490719999999999,0.004490719999999999,0.00023430658457685482,0,5
google_gemini-3.1-flash-lite,Complex.js,1,run1,,490,1380,1142,205,33,72,82.7536231884058,5.217391304347826,14.855072463768115,57.01,650,491,1,341.93,893666,107138,0.2234165,0.160707,0.38412349999999995,0.00027835036231884053,0.00033636033274956213,0.0003589939252336448,0.0007823289205702647,0.0009233737980769229,0.006737826697070689,75,416
google_gemini-3.1-flash-lite,countries-and-timezones,1,run1,,106,303,250,51,2,15,82.50825082508251,4.9504950495049505,16.831683168316832,88,220,30,0,251.817,93320,23535,0.02333,0.0353025,0.058632500000000004,0.000193506600660066,0.00023453000000000002,0.0002495,0.001954416666666667,0.0030859210526315794,0.0006662784090909091,11,19
google_gemini-3.1-flash-lite,node-jsonfile,1,run1,,68,199,160,39,0,5,80.40201005025126,2.512562814070352,19.597989949748744,77.5,58,36,66,488.398,50638,14978,0.0126595,0.022467,0.035126500000000005,0.00017651507537688445,0.00021954062500000003,0.00022662258064516132,0.0009757361111111112,0.0012545178571428573,0.00045324516129032264,8,28
google_gemini-3.1-flash-lite,pull-stream,1,run1,,351,1038,809,225,4,16,77.9383429672447,1.5414258188824663,21.67630057803468,68.11,482,258,69,1272.511,185691,72933,0.04642275,0.1093995,0.15582225,0.000150117774566474,0.00019261093943139678,0.00019649716267339218,0.0006039622093023256,0.0006208057768924303,0.0022878028189693145,7,251
google_gemini-3.1-flash-lite,spacl-core,1,run1,,134,383,259,120,4,16,67.62402088772846,4.177545691906006,31.33159268929504,84.62,209,38,0,974.462,150732,30236,0.037683,0.045354,0.083037,0.00021680678851174935,0.0003206061776061776,0.00034171604938271606,0.0021851842105263157,0.0039541428571428575,0.0009812928385724414,17,21
google_gemini-3.1-flash-lite,zip-a-folder,1,run1,,49,143,117,21,5,5,81.81818181818183,3.4965034965034967,14.685314685314685,94.02,19,7,91,1157.738,73788,11154,0.018447,0.016731000000000003,0.035178,0.000246,0.0003006666666666667,0.0003140892857142857,0.005025428571428571,0.005025428571428571,0.0003741544352265476,0,7
google_gemini-3.5-flash,Complex.js,1,run1,,490,1369,1172,170,27,92,85.60993425858291,6.7202337472607745,12.41782322863404,55.03,645,527,0,341.707,894841,107843,1.3422615,0.970587,2.3128485,0.001689443754565376,0.001973420221843003,0.002141526388888889,0.004388706831119545,0.005139663333333333,0.042028866073051056,77,450
google_gemini-3.5-flash,countries-and-timezones,1,run1,,106,302,263,36,3,14,87.08609271523179,4.635761589403973,11.920529801324504,80.99,213,50,0,275.239,93198,24543,0.139797,0.220887,0.360684,0.001194317880794702,0.0013714220532319392,0.0014485301204819278,0.00721368,0.0120228,0.004453438696135325,20,30
google_gemini-3.5-flash,node-jsonfile,1,run1,,68,200,161,38,1,2,80.5,1,19,72.05,62,45,54,428.282,50578,15171,0.07586699999999999,0.136539,0.21240599999999998,0.0010620299999999998,0.0013192919254658385,0.00133588679245283,0.004720133333333333,0.005900166666666666,0.002948036086051353,9,36
google_gemini-3.5-flash,pull-stream,1,run1,,351,1020,858,161,1,29,84.11764705882354,2.843137254901961,15.784313725490195,64.8,489,302,67,1346.122,185351,76218,0.27802649999999995,0.685962,0.9639884999999999,0.0009450867647058823,0.0011235297202797203,0.0011628329312424607,0.0031920149006622513,0.0032240418060200666,0.01487636574074074,3,299
google_gemini-3.5-flash,spacl-core,1,run1,,134,375,257,116,2,22,68.53333333333333,5.866666666666666,30.933333333333334,83.95,204,39,0,941.436,150586,30682,0.225879,0.276138,0.5020169999999999,0.001338712,0.001953373540856031,0.002136242553191489,0.012872230769230768,0.02281895454545454,0.0059799523525908265,17,22
google_gemini-3.5-flash,zip-a-folder,1,run1,,49,146,118,24,4,1,80.82191780821918,0.684931506849315,16.43835616438356,97.46,19,3,96,1273.952,73738,11053,0.110607,0.09947700000000001,0.210084,0.001438931506849315,0.0017803728813559321,0.0017955897435897436,0.07002799999999999,0.07002799999999999,0.0021555920377590806,0,3
meta-llama_llama-3.1-8b-instruct,Complex.js,1,run1,,490,1424,1127,279,18,42,79.14325842696628,2.9494382022471908,19.59269662921348,63.8,718,408,1,334.827,787157,76227,0.01574314,0.0038113500000000002,0.01955449,0.000013732085674157305,0.00001735092280390417,0.00001802257142857143,0.000047927671568627454,0.000048764314214463845,0.00030649670846394985,7,401
meta-llama_llama-3.1-8b-instruct,countries-and-timezones,1,run1,,106,313,235,73,5,5,75.07987220447284,1.5974440894568689,23.322683706070286,80,188,47,0,245.88400000000001,82469,17222,0.00164938,0.0008611000000000001,0.00251048,0.00000802070287539936,0.000010682893617021276,0.000010915130434782608,0.00005341446808510638,0.0000784525,0.000031380999999999997,15,32
