model,package,run,runLabel,simulated,nrPrompts,nrCandidates,nrValid,nrInvalid,nrIdentical,nrDuplicate,validityRate,duplicateRate,invalidRate,mutationScore,nrKilled,nrSurvived,nrTimedOut,strykerTimeSec,totalPromptTokens,totalCompletionTokens,totalCostUsd,nMutants,medianAbsLevenshtein,q1AbsLevenshtein,q3AbsLevenshtein,medianNormLevenshtein,q1NormLevenshtein,q3NormLevenshtein
deepseek_deepseek-chat-v3.1,node-jsonfile,4,run4,,68,198,172,25,1,6,86.86868686868688,3.0303030303030303,12.626262626262626,80.81,67,33,72,538.81,,,,172,7,4,9,0.698005698005698,0.32,0.9166666666666666
deepseek_deepseek-chat-v3.1,pull-stream,4,run4,,351,1027,829,183,15,23,80.7205452775073,2.239532619279455,17.818889970788703,63.93,468,299,62,1284.004,,,,829,5,4,8,0.8,0.3333333333333333,1
deepseek_deepseek-chat-v3.1,spacl-core,4,run4,,134,371,250,115,6,24,67.38544474393531,6.46900269541779,30.997304582210244,83.98,193,37,1,936.73,,,,250,5,3,8,0.38461538461538464,0.16263440860215053,0.75
deepseek_deepseek-chat-v3.1,zip-a-folder,4,run4,,49,142,120,16,6,4,84.50704225352112,2.8169014084507045,11.267605633802818,93.33,26,8,86,1201.074,,,,120,8,4,15,0.5202702702702703,0.2386497641509434,0.8259803921568627
deepseek_deepseek-chat-v3.1,Complex.js,5,run5,,490,1341,1117,216,8,97,83.29604772557792,7.233407904548844,16.10738255033557,54.25,605,511,1,368.507,,,,1117,3,1,6,0.5,0.2,1
deepseek_deepseek-chat-v3.1,countries-and-timezones,5,run5,,106,298,263,31,4,14,88.25503355704699,4.697986577181208,10.40268456375839,82.13,216,47,0,269.641,,,,263,7,5,11,0.5625,0.35294117647058826,0.8571428571428571
deepseek_deepseek-chat-v3.1,node-jsonfile,5,run5,,68,198,172,25,1,6,86.86868686868688,3.0303030303030303,12.626262626262626,80.81,67,33,72,538.81,,,,172,7,4,9,0.698005698005698,0.32,0.9166666666666666
deepseek_deepseek-chat-v3.1,pull-stream,5,run5,,351,1027,829,183,15,23,80.7205452775073,2.239532619279455,17.818889970788703,63.93,468,299,62,1284.004,,,,829,5,4,8,0.8,0.3333333333333333,1
deepseek_deepseek-chat-v3.1,spacl-core,5,run5,,134,371,250,115,6,24,67.38544474393531,6.46900269541779,30.997304582210244,83.98,193,37,1,936.73,,,,250,5,3,8,0.38461538461538464,0.16263440860215053,0.75
deepseek_deepseek-chat-v3.1,zip-a-folder,5,run5,,49,142,120,16,6,4,84.50704225352112,2.8169014084507045,11.267605633802818,93.33,26,8,86,1201.074,,,,120,8,4,15,0.5202702702702703,0.2386497641509434,0.8259803921568627
google_gemini-2.5-flash-thinking,Complex.js,1,run1,,490,471,418,53,0,20,88.74734607218684,4.246284501061571,11.252653927813164,60.05,251,167,0,132.067,894841,120449,0.5695748,418,2,1,4,0.4,0.18636363636363637,0.8
google_gemini-2.5-flash-thinking,countries-and-timezones,1,run1,,106,104,100,4,0,2,96.15384615384616,1.9230769230769231,3.8461538461538463,92,92,8,0,109.27000000000001,93198,26080,0.09315939999999999,100,7,5,9,0.5590277777777778,0.3458333333333333,0.8722222222222222
google_gemini-2.5-flash-thinking,node-jsonfile,1,run1,,68,68,67,1,0,2,98.52941176470588,2.941176470588235,1.4705882352941175,82.09,23,12,32,225.99099999999999,50578,16732,0.057003399999999996,67,7,3.5,8,0.5714285714285714,0.32,1
google_gemini-2.5-flash-thinking,pull-stream,1,run1,,351,352,292,60,0,4,82.95454545454545,1.1363636363636365,17.045454545454543,69.52,176,89,27,473.634,185351,86332,0.27143530000000005,292,4,2.75,6,0.75,0.25,1
google_gemini-2.5-flash-thinking,spacl-core,1,run1,,134,131,99,31,1,3,75.57251908396947,2.2900763358778624,23.66412213740458,92.55,87,7,0,377.891,150586,32970,0.1276008,99,5,2,8,0.375,0.1471861471861472,0.75
google_gemini-2.5-flash-thinking,zip-a-folder,1,run1,,49,49,45,3,1,1,91.83673469387756,2.0408163265306123,6.122448979591836,97.78,10,1,34,470.297,73738,12057,0.0522639,45,6,4,13,0.4666666666666667,0.2,0.8636363636363636
google_gemini-2.5-flash-thinking,Complex.js,2,run2,,490,471,418,53,0,20,88.74734607218684,4.246284501061571,11.252653927813164,60.05,251,167,0,132.067,894841,120449,0.5695748,418,2,1,4,0.4,0.18636363636363637,0.8
google_gemini-2.5-flash-thinking,countries-and-timezones,2,run2,,106,104,100,4,0,2,96.15384615384616,1.9230769230769231,3.8461538461538463,92,92,8,0,109.27000000000001,93198,26080,0.09315939999999999,100,7,5,9,0.5590277777777778,0.3458333333333333,0.8722222222222222
